Company_ID,Company_Name,Sectors,Trading_Codes,Scrip_Codes,Websites,Urls
DSE-394-2137,United Finance Limited,Fuel & Power,UNITEDFIN, 25703, http://www.unitedpowerbd.com,https://www.dsebd.org/displayCompany.php?name=UNITEDINS
DSE-395-7824,United Insurance Company Ltd.,Miscellaneous,UNITEDINS, 15318, http://www.ugsflbd.com,https://www.dsebd.org/displayCompany.php?name=UPGDCL
DSE-396-8216,United Power Generation & Distribution Company Ltd.,Bank,UPGDCL, 99608, http://www.uttarabank-bd.com,https://www.dsebd.org/displayCompany.php?name=USMANIAGL
DSE-397-2141,Usmania Glass Sheet Factory Limited,Financial Institutions,USMANIAGL, 11109, http://www.uttarafinance.biz,https://www.dsebd.org/displayCompany.php?name=UTTARABANK
DSE-398-2065,Uttara Bank Limited,Mutual Funds,UTTARABANK, 11114, http://www.vanguardaml.com,https://www.dsebd.org/displayCompany.php?name=UTTARAFIN
DSE-399-1408,Uttara Finance and Investments Limited,Mutual Funds,UTTARAFIN, 12197, http://www.vanguardaml.com,https://www.dsebd.org/displayCompany.php?name=VAMLBDMF1
DSE-400-7959,Vanguard AML BD Finance Mutual Fund One,Textile,VAMLBDMF1, 12198, http://www.vfsthread.com,https://www.dsebd.org/displayCompany.php?name=VAMLRBBF
DSE-401-4462,Vanguard AML Rupali Bank Balanced Fund,Engineering,VAMLRBBF, 17478, http://www.waltonhil.com,https://www.dsebd.org/displayCompany.php?name=VFSTDL
DSE-402-2314,VFS Thread Dyeing Limited,Pharmaceuticals & Chemicals,VFSTDL, 13248, http://www.watachemicals.com,https://www.dsebd.org/displayCompany.php?name=WALTONHIL
DSE-403-3985,Walton Hi-Tech Industries PLC,Engineering,WALTONHIL, 18467, http://www.wms.com.bd,https://www.dsebd.org/displayCompany.php?name=WATACHEM
DSE-404-2329,Wata Chemicals Limited,Engineering,WATACHEM, 13236, http://www.yeakinpolymerbd.com,https://www.dsebd.org/displayCompany.php?name=WMSHIPYARD
DSE-405-1331,Western Marine Shipyard Limited,Textile,WMSHIPYARD, 13241, https://zaheenspinningltd.com/ltd/index.php?id=60,https://www.dsebd.org/displayCompany.php?name=YPL
DSE-406-8112,Yeakin Polymer Limited,Textile,YPL, 17467, http://www.zahintex.com,https://www.dsebd.org/displayCompany.php?name=ZAHEENSPIN
DSE-407-1685,Zaheen Spinning Limited,Food & Allied,ZAHEENSPIN, 17452, http://zbsm.bsfic.gov.bd/,https://www.dsebd.org/displayCompany.php?name=ZAHINTEX
DSE-408-2367,Zahintex Industries Limited,Mutual Funds,ZAHINTEX, 14266, http://www.1janatamf.com/,https://www.dsebd.org/displayCompany.php?name=ZEALBANGLA
DSE-409-4327,Zeal Bangla Sugar Mills Ltd.,Mutual Funds,ZEALBANGLA, 12178, http://www.icbamcl.com.bd,https://www.dsebd.org/displayCompany.php?name=1JANATAMF
DSE-410-6077,First Janata Bank Mutual Fund,,1JANATAMF, 12168,,https://www.dsebd.org/displayCompany.php?name=1STPRIMFMF
DSE-411-3266,Prime Finance First Mutual Fund,,1STPRIMFMF,,,
